alert_id,language,system,pfi,ifi,ofs,segments_count,export_timestamp
EVACUATION-CA-20260208-00,es,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,es,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,es,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,hi,google_nmt,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,hi,gpt4o,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,hi,nllb200,0.38888888888888884,1.5,0.9444444444444444,6,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,es,gpt4o,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,es,nllb200,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,hi,google_nmt,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,hi,gpt4o,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,hi,nllb200,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,es,gpt4o,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,es,nllb200,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,hi,google_nmt,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,hi,gpt4o,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,hi,nllb200,0.6666666666666666,1.5,1.0833333333333333,4,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-03,es,google_nmt,0.3333333333333333,1.5,0.9166666666666666,4,2026-02-08T23:07:22.517362
