2026-02-08 15:07:10,226 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,316 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,396 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,487 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,621 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,703 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,786 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,862 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:10,931 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,001 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,081 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,181 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,273 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,361 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,427 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,510 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,581 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,677 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,746 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,811 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,892 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:11,958 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,026 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,097 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,176 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,246 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,316 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,391 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,466 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,538 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,626 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,706 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,771 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,840 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,906 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:12,976 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,041 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,106 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,239 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,351 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,449 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,556 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,677 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,796 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,866 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:13,936 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,009 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,086 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,179 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,257 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,335 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,416 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,489 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
2026-02-08 15:07:14,566 | WARNING | ipaws_research | spaCy model load failed for en: [E050] Can't find model 'en_core_web_sm'. It doesn't seem to be a Python package or a valid path to a data directory.; using blank model with sentencizer
